cityTitle,storeTitle,title,activityTimeRange,cacheAmount,terminalEnabled,city_UKR,city_ENG,admin2Name_ua,admin2Pcode,admin1Name_en,admin1Name_ua,admin1Pcode
Київ,"просп. Героїв Сталінграда, 12п","Київ, просп. Героїв Сталінграда, 12п",09:00 - 19:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Героїв Сталінграда, 27Б","Київ, просп. Героїв Сталінграда, 27Б",09:00 - 19:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Героїв Сталінграда, 46","Київ, просп. Героїв Сталінграда, 46",08:00 - 18:30,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Героїв Сталінграда, 8а","Київ, просп. Героїв Сталінграда, 8а",08:00 - 19:00,6000,False,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Глибочицька, 32б","Київ, вул. Глибочицька, 32б",10:00 - 17:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Гончара Олеся, 96","Київ, вул. Гончара Олеся, 96",09:00 - 19:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Григоренка Петра, 23","Київ, просп. Григоренка Петра, 23",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"бул. Дарницький, 8а","Київ, бул. Дарницький, 8а",07:00 - 19:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"наб. Дніпровська, 12","Київ, наб. Дніпровська, 12",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"наб. Дніпровська, 33","Київ, наб. Дніпровська, 33",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Дорогожицька, 2","Київ, вул. Дорогожицька, 2",09:00 - 17:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Драгоманова, 10","Київ, вул. Драгоманова, 10",08:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Драгомирова Михайла, 16","Київ, вул. Драгомирова Михайла, 16",09:00 - 19:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Драйзера Теодора, 8","Київ, вул. Драйзера Теодора, 8",08:00 - 19:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Закревського Миколи, 61/2","Київ, вул. Закревського Миколи, 61/2",07:00 - 19:00,6000,False,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Западинська, 15","Київ, вул. Западинська, 15",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Здолбунівська, 4","Київ, вул. Здолбунівська, 4",08:30 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Івашкевича Ярослава, 6-8 А","Київ, вул. Івашкевича Ярослава, 6-8 А",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Інженерна, 1","Київ, вул. Інженерна, 1",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Калнишевського Петра, 2","Київ, вул. Калнишевського Петра, 2",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"пров. Карельський, 3","Київ, пров. Карельський, 3",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Кибальчича Миколи, 11А","Київ, вул. Кибальчича Миколи, 11А",08:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"бул. Кольцова, 14м","Київ, бул. Кольцова, 14м",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Конєва маршала, 7","Київ, вул. Конєва маршала, 7",09:00 - 19:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Коновальця Євгена, 26а","Київ, вул. Коновальця Євгена, 26а",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Лаврухіна, 4","Київ, вул. Лаврухіна, 4",08:00 - 19:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
